deb7e0dfe8223296b285facea89bd539ddc26643	2026-09-03T15:32:58+08:00	docs: define SpeakMate PWA product specification
5640afd41be3d2b7a27d02622deb8b353a297c37	2026-09-03T15:47:54+08:00	docs: add SpeakMate PWA implementation plan
30ce058d820539041382eddb1238ad2a63ce790c	2026-09-03T16:24:28+08:00	build: scaffold SpeakMate PWA foundation
5cdcde7fe58e8b2c61df989b5265cdadccae6465	2026-09-03T16:41:14+08:00	feat: add adaptive forty-two scene catalog
9c084c86400351f39024e7134e6a9efeb591d618	2026-09-03T16:44:55+08:00	feat: add guest-first local persistence
e03c68834136acaf555eba3cac7bc68900059d21	2026-09-03T16:54:27+08:00	feat: add installable offline PWA shell
88e35ae597c5272c67ab43f90677ebdfbbb537b5	2026-09-03T19:25:43+08:00	feat: establish Dialogue Stage design system
f4edeccacffb6d1efd401f4aaa38137a4e1cec3f	2026-09-03T19:45:08+08:00	feat: add onboarding and adaptive scene discovery
18b43af59edc5af7e61d1165704a12eac939eaa7	2026-09-03T19:58:29+08:00	feat: complete local speaking practice loop
9be46aee516f735327f8a027b8e081c21ccb9b35	2026-09-03T20:09:40+08:00	feat: add zero-billing cloud AI fallback
4ff3086db7c5b5f5646d6386af71f1a2d7aac58f	2026-09-03T20:21:17+08:00	feat: add reports privacy controls and optional sync
e0dc4b9d4ad5a780c2c1ce0f0ccf35a08f3a5f6f	2026-09-03T21:32:25+08:00	test: verify mobile PWA experience
2f55d1dfbe8dbf5b29bcc0f959c6adc20cbefe2b	2026-09-03T22:03:40+08:00	docs: add zero-billing Vercel deployment
3206089af5a906ddf33dfc02022a6198a83bfed0	2026-09-03T22:09:53+08:00	docs: record production deployment evidence
39923a173a01cec898e376624cc8f3969ea13788	2026-09-03T22:41:13+08:00	fix: personalize practice and restore versioned sessions
38045173902d9de0d9446dfe67146a158705e582	2026-09-04T21:41:59+08:00	fix: make audio turns and local data resilient
04504b154ac57b21274bd8ea88046f3d0901a8a4	2026-09-04T21:56:15+08:00	fix: harden PWA security and release gates
35a61e593f2a9bb7dc135e59c9e660a5081eddf7	2026-09-04T22:39:17+08:00	fix: stabilize PWA release lifecycle
c0889b64a58137072b86530b14c1a7156b773fca	2026-09-05T10:20:10+08:00	fix: harden goal progress and offline recovery
a668452aeb6108c5efe3dbb7e0c6a005ce8889b3	2026-09-05T10:53:21+08:00	fix: isolate private offline sessions
c44cabc49ce24d1e6f6ef2b94241c1aaeef71e00	2026-09-05T11:02:55+08:00	fix: report manual release revision
3e4d937dc82f89cd650a19aa1734c0480f59dfba	2026-09-05T11:09:54+08:00	docs: record SpeakMate 2.1.1 production release
505ce61f47afa2e58cb6f9c83b89ccf9e5fb2928	2026-09-05T12:22:19+08:00	docs: define mobile UX consistency upgrade
de1fa4c6e8e496bc0a2c3d07608eeee9e068f4ce	2026-09-05T12:58:37+08:00	docs: plan mobile UX consistency upgrade
92b67a15ee1205708f6280fbb1aad687d64b54e7	2026-09-05T13:05:53+08:00	chore: ignore local worktrees
